Z,symbol,M,rho,A,ai
1,h,1.0078,8.37480e-5,1,0.999885
1,h,2.0141,8.37480e-5,2,0.000115
2,he,3.016,1.66322e-4,3,0.00000134
2,he,4.0026,1.66322e-4,4,0.99999866
3,li,6.0151,5.34e-01,6,0.0759
3,li,7.016,5.34e-01,7,0.9241
4,be,9.0121831,1.848,9,1.0
5,b,10.0129,2.37,10,0.199
5,b,11.0093,2.37,11,0.801
6,c,12.0,2.26,12,0.99
6,c,13.0034,2.26,13,0.01
7,n,14.0031,1.16528e-3,14,0.99636
7,n,15.0001,1.16528e-3,15,0.00364
8,o,15.9949,1.33151e-3,16,0.99757
8,o,16.9991,1.33151e-3,17,0.00038
8,o,17.9992,1.33151e-3,18,0.00205
9,f,18.998403163,1.58029E-03,19,1.0
11,na,22.98976928,9.71e-1,23,1.0
12,mg,23.985,1.74,24,0.7899
12,mg,24.9858,1.74,25,0.1000
12,mg,25.9826,1.74,26,0.1101
13,al,26.9815385,2.6989,27,1.0
14,si,27.9769,2.33,28,0.92223
14,si,28.9765,2.33,29,0.04685
14,si,29.9738,2.33,30,0.03092
15,p,30.973761998,2.2,31,1.0
16,s,31.9721,2.0,32,0.9499
16,s,32.9715,2.0,33,0.0075
16,s,33.9679,2.0,34,0.0425
16,s,35.9671,2.0,36,0.0001
17,cl,34.9688,0.00299473,35,0.7576
17,cl,36.9659,0.00299473,37,0.2424
18,ar,35.9675,0.00166201,36,0.003336
18,ar,37.9627,0.00166201,38,0.000629
18,ar,39.9624,0.00166201,40,0.996035
19,k,38.9637,0.862,39,0.932581
19,k,39.964,0.862,40,0.000117
19,k,40.9618,0.862,41,0.067302
20,ca,39.9626,1.55,40,0.96941
20,ca,41.9586,1.55,42,0.00647
20,ca,42.9588,1.55,43,0.00135
20,ca,43.9555,1.55,44,0.02086
20,ca,45.9537,1.55,46,0.00004
20,ca,47.9525,1.55,48,0.00187
21,sc,44.955908,2.989,45,1.0
22,ti,45.9526,4.54,46,0.0825
22,ti,46.9518,4.54,47,0.0744
22,ti,47.9479,4.54,48,0.7372
22,ti,48.9479,4.54,49,0.0541
22,ti,49.9448,4.54,50,0.0518
23,v,49.9472,6.11,50,0.00250
23,v,50.944,6.11,51,0.99750
24,cr,49.946,7.18,50,0.04345
24,cr,51.9405,7.18,52,0.83789
24,cr,52.9407,7.18,53,0.09501
24,cr,53.9389,7.18,54,0.02365
25,mn,54.938044,7.26,55,1.0
26,fe,53.9396,7.874,54,0.05845
26,fe,55.9349,7.874,56,0.91754
26,fe,56.9354,7.874,57,0.02119
26,fe,57.9333,7.874,58,0.00282
27,co,58.933195,8.9,59,1.0
28,ni,57.9353,8.902,58,0.68077
28,ni,59.9308,8.902,60,0.26223
28,ni,60.9311,8.902,61,0.011399
28,ni,61.9283,8.902,62,0.036346
28,ni,63.928,8.902,64,0.009255
29,cu,62.9296,8.96,63,0.6915
29,cu,64.9278,8.96,65,0.3085
30,zn,63.9291,7.133,64,0.4917
30,zn,65.926,7.133,66,0.2773
30,zn,66.9271,7.133,67,0.0404
30,zn,67.9248,7.133,68,0.1845
30,zn,69.9253,7.133,70,0.0061
31,ga,68.9256,5.904,69,0.60108
31,ga,70.9247,5.904,71,0.39892
32,ge,69.9242,5.323,70,0.2057
32,ge,71.9221,5.323,72,0.2745
32,ge,72.9235,5.323,73,0.0775
32,ge,73.9212,5.323,74,0.3650
32,ge,75.9214,5.323,76,0.0773
33,as,74.921595,5.73,75,1.0
34,se,73.9225,4.5,74,0.0089
34,se,75.9192,4.5,76,0.0937
34,se,76.9199,4.5,77,0.0763
34,se,77.9173,4.5,78,0.2377
34,se,79.9165,4.5,80,0.4961
34,se,81.9167,4.5,82,0.0873
35,br,78.9183,0.00707218,79,0.5069
35,br,80.9163,0.00707218,81,0.4931
36,kr,77.9204,0.00347832,78,0.00355
36,kr,79.9164,0.00347832,80,0.02286
36,kr,81.9135,0.00347832,82,0.11593
36,kr,82.9141,0.00347832,83,0.11500
36,kr,83.9115,0.00347832,84,0.56987
36,kr,85.9106,0.00347832,86,0.17279
37,rb,84.9118,1.532,85,0.7217
37,rb,86.9092,1.532,87,0.2783
38,sr,83.9134,2.54,84,0.0056
38,sr,85.9093,2.54,86,0.0986
38,sr,86.9089,2.54,87,0.0700
38,sr,87.9056,2.54,88,0.8258
39,y,88.90584,4.469,89,1.0
40,zr,89.9047,6.506,90,0.5145
40,zr,90.9056,6.506,91,0.1122
40,zr,91.905,6.506,92,0.1715
40,zr,93.9063,6.506,94,0.1738
40,zr,95.9083,6.506,96,0.0280
41,nb,92.90637,8.57,93,1.0
42,mo,91.9068,10.22,92,0.1453
42,mo,93.9051,10.22,94,0.0915
42,mo,94.9058,10.22,95,0.1584
42,mo,95.9047,10.22,96,0.1667
42,mo,96.906,10.22,97,0.0960
42,mo,97.9054,10.22,98,0.2439
42,mo,99.9075,10.22,100,0.0982
44,ru,95.9076,12.41,96,0.0554
44,ru,97.9053,12.41,98,0.0187
44,ru,98.9059,12.41,99,0.1276
44,ru,99.9042,12.41,100,0.1260
44,ru,100.9056,12.41,101,0.1706
44,ru,101.9044,12.41,102,0.3155
44,ru,103.9054,12.41,104,0.1862
45,rh,102.90550,12.41,103,1.0
46,pd,101.9056,12.02,102,0.0102
46,pd,103.904,12.02,104,0.1114
46,pd,104.9051,12.02,105,0.2233
46,pd,105.9035,12.02,106,0.2733
46,pd,107.9039,12.02,108,0.2646
46,pd,109.9052,12.02,110,0.1172
47,ag,106.9051,10.5,107,0.51839
47,ag,108.9047,10.5,109,0.48161
48,cd,105.9065,8.65,106,0.0125
48,cd,107.9042,8.65,108,0.0089
48,cd,109.903,8.65,110,0.1249
48,cd,110.9042,8.65,111,0.1280
48,cd,111.9028,8.65,112,0.2413
48,cd,112.9044,8.65,113,0.1222
48,cd,113.9034,8.65,114,0.2873
48,cd,115.9048,8.65,116,0.0749
49,in,112.9041,7.31,113,0.0429
49,in,114.9039,7.31,115,0.9571
50,sn,111.9048,5.75,112,0.0097
50,sn,113.9028,5.75,114,0.0066
50,sn,114.9033,5.75,115,0.0034
50,sn,115.9017,5.75,116,0.1454
50,sn,116.9029,5.75,117,0.0768
50,sn,117.9016,5.75,118,0.2422
50,sn,118.9033,5.75,119,0.0859
50,sn,119.9022,5.75,120,0.3258
50,sn,121.9034,5.75,122,0.0463
50,sn,123.9053,5.75,124,0.0579
51,sb,120.9038,6.691,121,0.5721
51,sb,122.9042,6.691,123,0.4279
52,te,119.904,6.24,120,0.0009
52,te,121.903,6.24,122,0.0255
52,te,122.9043,6.24,123,0.0089
52,te,123.9028,6.24,124,0.0474
52,te,124.9044,6.24,125,0.0707
52,te,125.9033,6.24,126,0.1884
52,te,127.9045,6.24,128,0.3174
52,te,129.9062,6.24,130,0.3408
53,i,126.90447,4.93,127,1.0
54,xe,123.9059,0.00548536,124,0.000952
54,xe,125.9043,0.00548536,126,0.000890
54,xe,127.9035,0.00548536,128,0.019102
54,xe,128.9048,0.00548536,129,0.264006
54,xe,129.9035,0.00548536,130,0.040710
54,xe,130.9051,0.00548536,131,0.212324
54,xe,131.9041,0.00548536,132,0.269086
54,xe,133.9054,0.00548536,134,0.104357
54,xe,135.9072,0.00548536,136,0.088573
55,cs,132.90545196,1.873,133,1.0
56,ba,129.9063,3.5,130,0.00106
56,ba,131.9051,3.5,132,0.00101
56,ba,133.9045,3.5,134,0.02417
56,ba,134.9057,3.5,135,0.06592
56,ba,135.9046,3.5,136,0.07854
56,ba,136.9058,3.5,137,0.11232
56,ba,137.9052,3.5,138,0.71698
57,la,137.9071,6.154,138,0.0008881
57,la,138.9064,6.154,139,0.9991119
58,ce,135.9072,6.657,136,0.00185
58,ce,137.906,6.657,138,0.00251
58,ce,139.9054,6.657,140,0.88450
58,ce,141.9092,6.657,142,0.11114
59,pr,140.90766,6.71,141,1.0
60,nd,141.9077,6.9,142,0.27152
60,nd,142.9098,6.9,143,0.12174
60,nd,143.9101,6.9,144,0.23798
60,nd,144.9126,6.9,145,0.08293
60,nd,145.9131,6.9,146,0.17189
60,nd,147.9169,6.9,148,0.05756
60,nd,149.9209,6.9,150,0.05638
62,sm,143.912,7.46,144,0.0307
62,sm,146.9149,7.46,147,0.1499
62,sm,147.9148,7.46,148,0.1124
62,sm,148.9172,7.46,149,0.1382
62,sm,149.9173,7.46,150,0.0738
62,sm,151.9197,7.46,152,0.2675
62,sm,153.9222,7.46,154,0.2275
63,eu,150.9198,5.243,151,0.4781
63,eu,152.9212,5.243,153,0.5219
64,gd,151.9198,7.9004,152,0.0020
64,gd,153.9209,7.9004,154,0.0218
64,gd,154.9226,7.9004,155,0.1480
64,gd,155.9221,7.9004,156,0.2047
64,gd,156.924,7.9004,157,0.1565
64,gd,157.9241,7.9004,158,0.2484
64,gd,159.927,7.9004,160,0.2186
65,tb,158.92535,8.229,159,1.0
66,dy,155.9243,8.55,156,0.00056
66,dy,157.9244,8.55,158,0.00095
66,dy,159.9252,8.55,160,0.02329
66,dy,160.9269,8.55,161,0.18889
66,dy,161.9268,8.55,162,0.25475
66,dy,162.9287,8.55,163,0.24896
66,dy,163.9292,8.55,164,0.28260
67,ho,164.93033,8.795,165,1.0
68,er,161.9288,9.066,162,0.00139
68,er,163.9292,9.066,164,0.01601
68,er,165.9303,9.066,166,0.33503
68,er,166.9321,9.066,167,0.22869
68,er,167.9324,9.066,168,0.26978
68,er,169.9355,9.066,170,0.14910
69,tm,168.93422,9.321,169,1.0
71,lu,174.9408,9.84,175,0.97401
71,lu,175.9427,9.84,176,0.02599
72,hf,173.94,13.31,174,0.0016
72,hf,175.9414,13.31,176,0.0526
72,hf,176.9432,13.31,177,0.1860
72,hf,177.9437,13.31,178,0.2728
72,hf,178.9458,13.31,179,0.1362
72,hf,179.9465,13.31,180,0.3508
73,ta,179.9475,16.654,180,0.0001201
73,ta,180.948,16.654,181,0.9998799
74,w,179.9467,19.3,180,0.0012
74,w,181.9482,19.3,182,0.2650
74,w,182.9502,19.3,183,0.1431
74,w,183.9509,19.3,184,0.3064
74,w,185.9544,19.3,186,0.2843
75,re,184.953,21.02,185,0.3740
75,re,186.9557,21.02,187,0.6260
77,ir,190.9606,22.42,191,0.373
77,ir,192.9629,22.42,193,0.627
79,au,196.966569,19.32,197,1.0
80,hg,195.9658,13.546,196,0.0015
80,hg,197.9668,13.546,198,0.0997
80,hg,198.9683,13.546,199,0.1687
80,hg,199.9683,13.546,200,0.2310
80,hg,200.9703,13.546,201,0.1318
80,hg,201.9706,13.546,202,0.2986
80,hg,203.9735,13.546,204,0.0687
81,tl,202.9723,11.72,203,0.2952
81,tl,204.9744,11.72,205,0.7048
82,pb,203.973,11.35,204,0.014
82,pb,205.9745,11.35,206,0.241
82,pb,206.9759,11.35,207,0.221
82,pb,207.9767,11.35,208,0.524
83,bi,208.98040,9.747,209,1.0
90,th,232.0381,11.72,232,1.0
91,pa,231.03588,15.37,231,1.0
92,u,235.0439,18.95,235,0.0072
92,u,238.0508,18.95,238,0.9928
94,pu,239.0522,19.84,239,0.90490
94,pu,240.0538,19.84,240,0.08580
94,pu,241.0569,19.84,241,0.00890
94,pu,242.0587,19.84,242,0.00040
